Customer_ID,Company_Name,Integration_Complete,Plan,Acquisition_Channel,Onboarding_Completed,Logins_Per_Month,Support_Tickets_Used,LTV_Estimate,Months_Active,is_churned,Churn_Month,Churn_Reason,NPS_Score,Random_Metric_1,Random_Metric_2,Random_Metric_3,Random_Metric_4,Random_Metric_5,Random_Metric_6,Random_Metric_7,Random_Metric_8,Random_Metric_9,Random_Metric_10,Random_Metric_11,Random_Metric_12,Random_Metric_13,Random_Metric_14,Random_Metric_15,Random_Metric_16,Random_Metric_17,Random_Metric_18,Random_Metric_19,Random_Metric_20,Random_Metric_21,Random_Metric_22,Random_Metric_23,Random_Metric_24,Random_Metric_25
C0001,Company_1,Yes,Enterprise,Paid Ads,Yes,60,0,606.7126058882723,14,0,0,Still Active,10,341.46302702004624,111.57836803530446,-104.75946168884023,-458.93981069629217,335.8805398852907,248.00671261381243,1182.1654246001194,-472.57890127324,-429.5210415928909,-308.4431967248594,-516.5906529121629,728.428934852945,61.35881113658128,-321.3351216550427,-199.7753259351844,-311.76578650116426,667.9229951818423,750.1020525420835,-270.48730956522854,437.619214360199,690.7709906944614,219.36273747860997,944.8877623488114,330.47425393127116,775.4645308834018
C0002,Company_2,No,Professional,Outbound,No,74,0,1003.395803375365,1,1,1,Too expensive,9,723.406230447297,519.8000417700202,-375.2669515603411,186.38955451025257,-186.5736693108294,422.0614369800918,-982.4672876094421,201.91536702638268,112.47549085007088,360.5308781588012,76.17578384845393,-595.2176473883496,-310.0861468503748,300.3434134205726,754.9993941166616,293.5746390293254,169.0345706873204,802.3221282573645,173.0248467918168,-227.78611421906612,930.6109396702321,833.2542555905104,503.2837163762135,-371.63936204003136,294.78866531167347
C0003,Company_3,No,Enterprise,Organic,Yes,53,0,7429.033259391015,60,0,0,Still Active,6,255.03446833291184,-480.5276193767939,611.0490273729749,-401.70115666699866,622.8522540266525,128.072971975477,-235.84998771423946,537.2030947451954,-436.279985497137,-164.880956625402,-33.80640214472012,457.5995126532601,690.518363597924,-368.0366078178242,755.5655884188185,1395.0147554237867,318.41988465183795,893.7274141765711,-12.073703072966783,-1069.1960257209182,890.7059959734839,-621.9101974257426,-122.12013344693548,792.6525592470082,177.5041478905326
C0004,Company_4,Yes,Enterprise,Outbound,Yes,82,15,992.2468751778076,38,0,0,Still Active,10,-370.8251773987983,1022.1767733376854,215.46580007059995,-966.7209297862752,-537.321109625313,-382.4973576016248,-164.58135731549675,-561.8030162163653,-453.23274181371806,637.8924336766759,726.2444009884282,-709.6311370700504,-88.91458944172645,-127.1714595917066,44.523057576595384,967.7832022263354,627.8276620273599,37.13059130758861,273.8623043078365,52.87715784980687,-891.2590708722354,502.3866642932437,343.82935722929955,182.66837236786276,-98.96700370318938
C0005,Company_5,Yes,Starter,Paid Ads,Yes,59,26,307.73928516290584,60,0,0,Still Active,7,1057.609817834974,-150.32760902287959,-194.62309828002532,-362.178817542152,569.2880462727666,-736.2781855992326,343.2331315355976,202.68699825878485,10.323803199061699,1337.5424528142,900.4203666567522,103.809251693287,-638.6735601683583,282.55828428160385,240.11320409592065,-204.01131809447236,6.036765686538612,-562.1635113598048,360.2264580480341,241.86787542716297,516.035448320615,206.20594634284535,898.5758391078675,-473.98318228232904,153.68164756779962
C0006,Company_6,Yes,Starter,Outbound,Yes,86,0,168.78782923893044,33,0,0,Still Active,2,11.845758688330537,55.7944314235701,-79.93270688988348,284.29167023904614,-294.6339666177193,378.4553302741522,363.335428168012,369.8919834518394,-389.72380851236124,137.36659026999843,-431.8289190419382,542.4903914511949,-372.14598539376465,161.7792553799536,-220.3845321501861,572.8315322835039,370.77296475507416,-290.64576750306685,618.9529752711775,-21.837413585328054,349.53397452012024,-85.5293987260631,332.4939115303005,-508.8433032444345,-300.83185965312526
C0007,Company_7,Yes,Enterprise,Referral,Yes,174,1,5298.8607637739815,3,1,3,Bad support,10,124.99881646376338,1029.9133808963047,-536.9650135652671,-351.7977695098245,260.9929558095579,-36.51164810959892,0.2030322944556684,3.5605586593812024,354.2971565333553,1468.850234120269,484.5687073685538,-1312.679205515717,-903.5527770132944,410.85208611585745,-304.3427657082611,-81.81024564934289,-609.807651946094,-63.90946224456657,486.57142951799364,121.32546335189762,-207.66365262402695,406.5363120022291,35.354220716177814,307.98575176380245,439.35385224095614
C0008,Company_8,No,Starter,Organic,Yes,54,27,110.2593342108815,1,1,1,Missing features,1,-226.82901916314844,-254.72002007839987,215.84009139407632,671.2060675323369,-132.49993515775438,-1.454871140773617,855.4352038670212,58.75811935706813,-139.5729070036252,-126.46816710041848,539.829036189722,-164.1895552256815,-227.17290536756448,448.61039251018417,273.55244279276434,-335.02531790641865,-181.27102066673686,-182.57872667766583,120.69311275056322,560.9092908223201,1570.524040582726,178.22880112261942,-606.8046218248011,-377.4305597356687,98.2997716137562
C0009,Company_9,Yes,Professional,Paid Ads,Yes,0,12,354.00568081015996,1,1,1,Missing features,4,-437.2067743316413,611.5212512613405,-630.7105179861321,-462.6923693692554,663.6048660464702,850.0544740868874,-458.0698464120647,-604.4477675437976,-497.2575194508144,16.18461754922781,-773.9336836390303,176.65597533903167,-354.52691916691043,766.164136920702,-290.2513709583514,58.64558650581841,957.0836647353319,156.66106500980564,571.601625002824,65.87661007542536,176.66485764678205,-199.66580231977764,714.7661074196445,-267.50371230681276,3.6942463018054346
C0010,Company_10,No,Professional,Paid Ads,No,0,11,355.9059529478184,1,1,1,Too expensive,1,-396.49717678586484,-7.160964098823946,441.01402881539826,107.07197301255029,4.459902179943029,-373.1143800180912,-247.9619635455553,318.7279755211714,1262.8601993463544,-379.9252383945212,582.5025356763194,-72.09022325449558,447.28913218579095,99.62759247174168,424.2403950456369,-994.0778860215505,612.1703715546985,475.6407267952915,-154.4083922030555,508.26179727296307,-157.92929781093954,449.75087783834493,35.43749385699444,312.31809506675904,-6.059748388651787
